Date, Time, Temperature
2023-03-13,00:00,-11.1
2023-03-13,03:00,-9.2
2023-03-13,06:00,-0.6
2023-03-13,09:00,1
2023-03-13,12:00,-1.5
2023-03-13,15:00,-6.1
2023-03-13,18:00,-5.5
2023-03-13,21:00,-4.4
2023-03-14,00:00,-8.2
2023-03-14,03:00,-6.8
2023-03-14,06:00,1
2023-03-14,09:00,4.1
2023-03-14,12:00,0.1
2023-03-14,15:00,-5
2023-03-14,18:00,-6
2023-03-14,21:00,-8.7
2023-03-15,00:00,-11.9
2023-03-15,03:00,-6.2
2023-03-15,06:00,4.4
2023-03-15,09:00,9.1
2023-03-15,12:00,5.2
2023-03-15,15:00,2.6
2023-03-15,18:00,-0.6
2023-03-15,21:00,-4.6
2023-03-16,00:00,-5.6
2023-03-16,03:00,-3.4
2023-03-16,06:00,4
2023-03-16,09:00,6.5
2023-03-16,12:00,3.3
2023-03-16,15:00,-0.8
2023-03-16,18:00,-2.4
2023-03-16,21:00,-5
2023-03-17,00:00,-7
2023-03-17,03:00,-5.8
2023-03-17,06:00,0.5
2023-03-17,09:00,3.1
2023-03-17,12:00,2.1
2023-03-17,15:00,-1.5
2023-03-17,18:00,-4.3
2023-03-17,21:00,-7.3
2023-03-18,00:00,-8.9
2023-03-18,03:00,-5.9
2023-03-18,06:00,2.7
2023-03-18,09:00,6.6
2023-03-18,12:00,2.2
2023-03-18,15:00,-1
2023-03-18,18:00,-2.6
2023-03-18,21:00,-2.6
2023-03-19,00:00,-2.9
2023-03-19,03:00,-2.6
2023-03-19,06:00,-7.6
2023-03-19,09:00,-9.2
2023-03-19,12:00,-10
2023-03-19,15:00,-12.6
2023-03-19,18:00,-14.3
2023-03-19,21:00,-18.1
2023-03-20,00:00,-18.1
2023-03-20,03:00,-15.7
2023-03-20,06:00,-10.8
2023-03-20,09:00,-8
2023-03-20,12:00,-9.6
2023-03-20,15:00,-11.9
2023-03-20,18:00,-11.8
2023-03-20,21:00,-11.2
2023-03-21,00:00,-11.8
2023-03-21,03:00,-10.2
2023-03-21,06:00,-5.9
2023-03-21,09:00,-5.1
2023-03-21,12:00,-5.2
2023-03-21,15:00,-8.4
2023-03-21,18:00,-11.5
2023-03-21,21:00,-12.4
2023-03-22,00:00,-13.3
2023-03-22,03:00,-11.3
2023-03-22,06:00,-3
2023-03-22,09:00,-0.9
2023-03-22,12:00,-3.6
2023-03-22,15:00,-6
2023-03-22,18:00,-7.8
2023-03-22,21:00,-7.8
2023-03-23,00:00,None
2023-03-23,03:00,None
2023-03-23,06:00,None
2023-03-23,09:00,None
2023-03-23,12:00,None
2023-03-23,15:00,None
2023-03-23,18:00,None
2023-03-23,21:00,None
